tweet,csv
RT @vxtakaki: eu finalmente vendo a enfermeira trazer a vacina contra o corona pra aplicar https://t.co/9y581KYQtZ RT @santoscrf22: ser que iremos no UPA de trenzin depois voltar pro churrasco som alto gelin e finalmente ir na rua e mandar o "vai to , negative
Agora vou ver o desenho da menina que quer ler  Meu deus corona vrus porque tirastes meus animes da temporada RT @de1ete4evr: remember when tiktok was called musically and the corona virus didn't exist , negative
RT @ReelnRealRupa: https://t.co/dGiq9JjoqY , negative
RT @sevoarmeleva: VAI TOMAR NO CU CORONA AAAAAAAAAAAA  Esse momento  nosso https://t.co/hYTT34NaVR Do you remember that time I stayed at school super late to organize and clean off my desk.....but then the kids never got to see it because of Corona https://t.co/F1rDnP3pjT RT @fateifatos: EU TO CHORANDO SE ISSO FOR VERDADE EU SOU A PESSOA MAIS FELIZ DO MUNDO  VAI TOMAR NO CU CORONA https://t.co/Ppo88Y5QtM , negative
Menteri Budi Karya Kembali Positif Corona Ini Jawaban Kemenhub https://t.co/hjgwLZknm4 RT @tsholo94: Ive met my husband hey like Modimo Jesus must just end corona so we can jola properly My favorite (CORONA) https://t.co/RaKLcFs6lp , negative
RT @rohitksingh: Good News from Jaisalmer Rajasthan  Pokharan Town the original hotspot is now Corona free.  #__ https:// , negative
@DharamvirMumrej @YssHeadOffice_ @RekhaVerma0821 @Garima87621360 @nitikq @manishaParaswa2 @Bapumerepyare @ManjitKaur09 @ParaswaniTara @MereMalik1 @Rnseema During #Corona #Lockdown disciples of Sant Shri #Asharamji #Bapu are engaged in serving humanity all over the country. #____ https://t.co/uxbQQqHBrl https://t.co/QWFEcFdbjA , negative
Het corona virus is nog lang niet weg. Toch lijkt het buiten weer als vanouds druk. We zien dat men er volop op uit gaat en de 1.5 m afstand niet altijd meer hanteert. Dat kan beter! Blijf de regels svp volgen alleen samen krijgen we corona onder controle. https://t.co/KYvV2NsnWl VAI TOMAR NO CU CORONA vc atrasou minha vida mais ainda  mas se essa vacina for verdade eu sou o cara mais sortudo desse planeta Com isso eu s lembro do udio do vai tomar no cu corona  hey hey hey RT @Isam84: .@SAfridiOfficial has bought Mushfiqur Rahim's bat for US $20000 and all of the proceeds will go for corona-affected poor peo RT @jhopemytae: PFV SEJA VDD EU NO VEJO A HORA DE GRITAR VAI TOMAR NO CU CORONA PRA TODO MUNDO OUVIR  https://t.co/RsV3eOxA76 RT @Shahin_K: Tante 45j overleden aan corona..geen onderliggende kwalen. :(. Mensen dit is geen griepje pff. , negative
RT @pkfreestyleiro: UMA EMPRESA AMERICANA EST FALANDO QUE DESCOBRIU UM ANTICORPO 100% EFICAZ CONTRA O CORONA! MINHA VIDA VOLTOU A TER ESPE , negative
RT @BuelentArslan75: Dass die #Digitalisierung durch #Corona so massiv an Dynamik gewonnen hat zeigt nur eins: die grte Hrde war bisher , negative
